10,6,1963,4,5.4,0,26.6,20.82,15.9,51.75,2.3333
11,6,1963,4.6,7.6,0,26.8,20.14,14.5,53.25,1.6
12,6,1963,5.4,5.4,0,27.2,20,13.3,50.5,1.3333
13,6,1963,4.8,9.7,0,28,20.12,13.6,52,0
14,6,1963,6.4,9.8,0,24.4,19.44,14,61.25,0.83333
15,6,1963,5.3,5.4,0,22.8,18.32,13.2,75.25,2.6667
16,6,1963,3.5,8.9,0,26.8,19.34,12.9,58.75,2
17,6,1963,3,9.1,0,26.5,19.68,13.3,60.5,0
18,6,1963,3.6,8.4,0,26.1,21.88,18.1,57.75,0
19,6,1963,NaN,6.8,0,24.8,NaN,18.3,NaN,0
20,6,1963,8.2,9,0,24.8,19.22,14.5,56.75,0.83333
21,6,1963,4.8,9.3,0,22.2,16.26,12.5,51,1.7667
22,6,1963,7,9.4,0,22.2,15.34,9.3,46.25,0
23,6,1963,6.5,9.5,0,21.8,15.26,11.2,49.5,NaN
24,6,1963,6.1,9.1,0,20.5,15.08,11.1,64,2.4667
25,6,1963,5.5,6.3,0,20.7,16.16,11.5,64.5,1
26,6,1963,4.7,6.1,0,21.8,17.36,11.8,70,1.5
27,6,1963,3.8,5.6,0,22.6,17.66,13.9,65,1.2
28,6,1963,5.5,9.3,0,24.9,18,12.9,57,2.4
29,6,1963,5.8,7.9,0,24.1,18.32,13.9,60.25,2
30,6,1963,5.2,8.8,0,23.7,17.96,14.9,68.5,0
1,4,1964,1.9,3.9,0,28.3,22.8,19.2,76.5,1.6667
2,4,1964,3.1,0.4,1.1,24.6,21.16,19.9,78.5,3.8333
3,4,1964,2.8,2.4,0,22.4,19.52,17.5,78.75,3.9333
4,4,1964,2.9,9.3,0,25.4,21.08,17.4,74.75,2.9
5,4,1964,3.2,5.4,0,26.7,21.68,17.9,74,3.4667
6,4,1964,3.3,4.8,0,27.4,22.26,18.9,71.5,3.9667
7,4,1964,3.7,9.5,0,28.7,22.48,17.6,68.5,1.9
8,4,1964,3.3,9.2,0,28.2,22.32,18,61,1.8
9,4,1964,4.5,8.1,0,25.9,21.26,17.3,68,3.0333
10,4,1964,3.1,10.3,0,28.2,22.94,17,61.75,2.3333
11,4,1964,3.9,11,0,27.4,21.84,17.2,66.5,2.0333
12,4,1964,4.5,9.6,0,27,22.14,19.3,67.25,2.7333
13,4,1964,4,7.9,0,29.2,23.02,17.3,62.25,0.8
14,4,1964,3.5,8.2,0,28.8,23.28,18.6,53,3.7667
15,4,1964,6.2,9.7,0,26.6,21.88,19.2,58.5,4.7667
16,4,1964,5.7,10.3,0,26.8,21.52,17.5,70.25,2.9667
17,4,1964,3.7,10.7,0,29.2,22.96,17.2,66.5,2.4
18,4,1964,3.8,11.2,0,27.8,22.3,17.5,58.5,1.7
19,4,1964,3.9,10.9,0,28.3,22.22,17.4,60.75,3.3
20,4,1964,4.2,10.8,0,27.5,22.54,17.2,60.75,2.3333
21,4,1964,4.8,4.8,0,27.6,21.74,18.3,NaN,0
22,4,1964,3.1,7.2,0,26,21.14,18.5,70.5,3.4667
23,4,1964,3.6,10.5,0,27.8,21.88,17.8,67.5,3
24,4,1964,3.3,11,0,30.4,24.04,17.2,58.75,0
25,4,1964,3.8,6.1,0,28.4,21.84,18.4,79.25,2.4333
26,4,1964,2.6,0,21.8,21.9,19.82,18.8,87.25,1.0667
27,4,1964,0.8,8.8,7.4,29,22.98,18.2,70,0
28,4,1964,2.5,0.9,4,25.3,20.6,18.8,84.5,0
29,4,1964,1.5,7.9,0,27,22.58,18.6,74,1.6333
30,4,1964,3.1,8.9,0,27.2,21.78,18.7,74,4.4667
1,5,1964,2.7,0.4,0,21.2,17.98,16,94.25,0
2,5,1964,0.5,3,18.9,22.6,17.88,15.8,80.75,4.4
3,5,1964,2.1,9.8,0,25,18.08,13.8,64.25,2.4333
4,5,1964,3.6,7.1,0,22.4,17.88,14.2,72,3
5,5,1964,3.4,7.2,0,23,18.88,15.8,72.25,3.5667
6,5,1964,3.4,1.1,0,23.8,19.04,16.1,85,2.1667
7,5,1964,1.4,6.1,16,25,20.12,17.4,72.75,0.26667
8,5,1964,2.1,8,0,25.6,19.94,15.8,72.75,1.5
9,5,1964,2.8,10.1,0,25.8,20.1,16.1,71.75,2.7333
10,5,1964,2.7,7,0,26,20.66,16.9,74.5,1.6333
11,5,1964,2,10.2,0,28.8,22.32,16.4,64,0.83333
12,5,1964,3.3,9.9,0,27.1,21.24,16.7,65,1.6333
13,5,1964,2.8,9.6,0,28,21.18,14.7,74.25,0
14,5,1964,3.4,2.8,0.2,24.9,19.14,16.5,77.25,0
15,5,1964,2.1,10.2,0.8,23.2,18.74,15.3,73.5,2.4333
16,5,1964,3.6,10.4,0,23.6,18.04,14.8,59.25,2.2
17,5,1964,4.3,9.4,0,22.4,17.84,13,57.5,3.7333
18,5,1964,4.4,4.9,0,23.2,18.14,15.1,60.25,2.5
19,5,1964,4,7.5,0,26.8,19.54,13.1,67,1.6333
20,5,1964,3.5,6,0,24,19.94,17.6,74.25,4.7
21,5,1964,3.6,1.7,0,25,20.14,17.6,77.25,2.9667
22,5,1964,2.4,2,0,25.6,20.38,16.8,72.5,1.0333
23,5,1964,2.5,10.3,0,26.2,21.2,17.4,67,4.2
24,5,1964,3.7,9.1,0,26.2,20.92,17,70.25,3.4333
25,5,1964,3.1,9.1,0,25.2,19.66,15.5,67,1.4333
26,5,1964,3.8,9.3,0,24.2,18.84,14.8,67.75,2.7333
27,5,1964,3.2,8.7,0,24,18.28,13.6,66.5,1.2667
28,5,1964,2.4,8.7,0,24.6,18.38,13.5,62.25,0
29,5,1964,3.7,7.6,0,23.8,18.28,14.2,63.25,1.2667
30,5,1964,3.9,8.7,0,21,15.98,13.5,67.75,5.6667
31,5,1964,4.1,10.3,0,19.6,13.78,10.1,60.5,3.8
1,6,1964,NaN,9.5,0,20.8,14.36,9.6,65.5,3.8
2,6,1964,3.2,10,0,21.4,15.56,10.8,67,0.83333
3,6,1964,3.3,8.4,0,22.1,16.26,11.2,72.5,0.66667
4,6,1964,2.9,5.2,0,22.4,17.78,13.6,79.25,0
5,6,1964,1.8,9.4,0.1,23.9,18.14,12.3,63.5,2.8333
6,6,1964,3.9,10,0,23.2,16.28,12.6,56.5,1.4667
7,6,1964,4.1,9.9,0,22.7,16.56,11.5,69.5,2.4333
8,6,1964,2.7,10.2,0,24.6,17.26,12.5,69.5,1.5
9,6,1964,2.7,10.7,0,25.8,17.44,12.4,68,1
10,6,1964,2.6,7.4,0,25.2,17.5,11.5,66.75,0.83333
11,6,1964,2.8,8.9,0,26.7,19.68,12.5,58.25,1.1
12,6,1964,3.7,10,0,28.8,21,14.4,59.25,0
13,6,1964,3.4,10.3,0,27.2,20.8,14,52.25,0.33333
14,6,1964,4.2,10,0,27.1,20.44,14.1,56,2.5
15,6,1964,4.4,9.1,0,27.5,21,15.3,60.5,0
16,6,1964,3.6,10.3,0,26.6,20.72,16.3,56,1.0333
17,6,1964,4.4,8.6,0,25.7,20.12,14.3,62.25,0.66667
18,6,1964,4.1,10,0,22.1,17.5,15.3,77,3.0333
19,6,1964,3,9.3,0,23.9,17.4,14.6,74.75,2.9
20,6,1964,2.8,10,0,26.2,18.96,12.6,62.75,1.3667
21,6,1964,3,9.4,0,25.3,19.52,13.7,64.5,2.9
22,6,1964,4.7,7.9,0,22.8,17.9,14.5,64.25,2.0667
23,6,1964,4.9,10.3,0,24.6,18.1,13.9,59.25,3.8667
24,6,1964,4.5,8.1,0,26.4,18.82,12.4,65.75,1.9
25,6,1964,4,10.1,0,26,20.3,15.7,63.5,2.1333
26,6,1964,3.5,5.1,0,26.4,18.58,15.1,77.25,1.5
27,6,1964,3.1,3.9,4.8,21.3,17.4,15.2,84.25,3.7
28,6,1964,1.9,7.3,2.3,23.9,18.32,14.2,79,0
29,6,1964,1.7,4.7,0.3,24.8,18.96,15.6,75.25,0.83333
30,6,1964,2.1,4.3,5.5,20.8,16.54,14.3,83,3.9667
1,4,1965,3.7,8.2,0,25.6,21.1,18.5,73.25,3.4667
2,4,1965,3.6,7.4,0,25.8,20.9,16.9,69.25,4.3667
3,4,1965,3.6,8,0,25,20.26,16.5,69.25,3.5667
