['1962', '3', '25', '20', '0', '84', '27.2', '55', '18.4', '20', '0', '86', '29.5', '51', '17.6', '20', '0', '86', '28', '51', '17.7']
['1962', '3', '26', '20', '0', '84', '27.2', '55', '18.2', '20', '0', '86', '29', '51', '15.3', '20', '0', '86', '28.4', '51', '14.9']
['1962', '3', '27', '20', '0', '84', '27.4', '55', '18.2', '20', '0', '86', '30', '51', '14.2', '20', '0', '86', '28.6', '51', '14.3']
['1962', '3', '28', '20', '0', '84', '28.2', '55', '18.4', '20', '0', '86', '30.1', '51', '14.4', '20', '.3', '86', '29.7', '51', '15.2']
['1962', '3', '29', '20', '0', '84', '28.3', '55', '18.8', '20', '0', '86', '30.3', '51', '14.7', '20', '0', '86', '29.6', '51', '15.3']
['1962', '3', '30', '20', '0', '84', '27.6', '55', '19', '20', '0', '86', '31', '51', '15.2', '20', '0', '86', '28.2', '51', '15.6']
['1962', '3', '31', '20', '0', '84', '27.8', '55', '19', '20', '15.7', '86', '28', '51', '19', '20', '.2', '86', '27.9', '51', '17.3']
['1963', '1', '1', '20', '11.3', '84', '27.8', '55', '18.4', '20', '.5', '86', '27.5', '51', '17.3', '20', '5.9', '86', '27.9', '51', '17.5']
['1963', '1', '2', '20', '12.5', '84', '28.2', '55', '19.6', '20', '8.8', '86', '29', '51', '17.9', '20', '2.4', '86', '28.8', '51', '18.3']
['1963', '1', '4', '20', '0', '84', '31.9', '55', '19.9', '20', '0', '86', '31.5', '51', '18.3', '20', '0', '86', '31', '51', '17.7']
['1963', '1', '5', '20', '0', '84', '30.1', '55', '19.8', '20', '0', '86', '31.2', '51', '17.3', '20', '0', '86', '30.8', '51', '15.8']
['1963', '1', '6', '20', '0', '84', '29.2', '55', '19.3', '20', '0', '86', '30', '51', '16.8', '20', '6', '86', '29.1', '51', '16.8']
